Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Outlet_Years,Item_Outlet_Sales
9.5,Regular,0.035205866,Fruits and Vegetables,171.3448,Medium,Tier 1,Supermarket Type1,14,2386.2272
18.0,Non-Edible,0.047473135,Household,170.5422,Small,Tier 2,Supermarket Type1,11,3103.9596
17.6,Regular,0.076121831,Meat,111.7202,Small,Tier 1,Supermarket Type1,16,1125.202
8.325,Low Fat,0.029845243,Fruits and Vegetables,41.6138,Small,Tier 2,Supermarket Type1,11,284.2966
12.85,Low Fat,0.137227848,Snack Foods,155.563,Small,Tier 1,Supermarket Type1,16,4224.501
17.2,Regular,0.099780431,Fruits and Vegetables,225.2088,Small,Tier 1,Grocery Store,28,447.4176
17.6,Low Fat,0.014008751,Dairy,171.3422,Small,Tier 1,Grocery Store,28,862.211
12.15,Regular,0.13283066,Fruits and Vegetables,190.6872,Small,Tier 2,Supermarket Type1,6,2269.0464
13.85,Non-Edible,0.031338558,Others,41.048,Small,Tier 1,Supermarket Type1,16,639.168
13.8,Regular,0.056596985,Snack Foods,230.9984,Medium,Tier 3,Supermarket Type3,28,9267.936
20.0,Regular,0.100262068,Baking Goods,169.6132,Small,Tier 3,Grocery Store,15,169.1132
7.825,Low Fat,0.079952983,Meat,62.7826,Medium,Tier 3,Supermarket Type2,4,1162.4868
19.25,Non-Edible,0.107940533,Household,35.5558,High,Tier 3,Supermarket Type1,26,305.6022
6.11,Regular,0.15209372100000002,Soft Drinks,43.0086,Medium,Tier 1,Supermarket Type1,14,713.7376
16.35,Non-Edible,0.029445361,Household,257.6646,Small,Tier 1,Supermarket Type1,16,2061.3168
15.75,Low Fat,0.14048631,Hard Drinks,252.7382,High,Tier 3,Supermarket Type1,26,3280.3966
16.1,Regular,0.013529884,Fruits and Vegetables,106.2596,Medium,Tier 3,Supermarket Type3,28,1402.1748
17.7,Regular,0.041098734,Fruits and Vegetables,80.9276,Medium,Tier 3,Supermarket Type2,4,487.3656
21.25,Non-Edible,0.114246019,Health and Hygiene,231.23,Small,Tier 2,Supermarket Type1,6,3029.39
17.25,Regular,0.047266211,Snack Foods,97.0068,Small,Tier 1,Supermarket Type1,16,1846.9292
14.5,Regular,0.063993068,Breads,260.4594,Small,Tier 2,Supermarket Type1,11,5494.8474
8.02,Non-Edible,0.019901356,Household,157.7972,High,Tier 3,Supermarket Type1,26,1713.7692
