Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Outlet_Years
9.5,Regular,0.035205866,Fruits and Vegetables,171.3448,Medium,Tier 1,Supermarket Type1,14
18.0,Non-Edible,0.047473135,Household,170.5422,Small,Tier 2,Supermarket Type1,11
17.6,Regular,0.076121831,Meat,111.7202,Small,Tier 1,Supermarket Type1,16
8.325,Low Fat,0.029845243,Fruits and Vegetables,41.6138,Small,Tier 2,Supermarket Type1,11
12.85,Low Fat,0.137227848,Snack Foods,155.563,Small,Tier 1,Supermarket Type1,16
17.2,Regular,0.099780431,Fruits and Vegetables,225.2088,Small,Tier 1,Grocery Store,28
17.6,Low Fat,0.014008751,Dairy,171.3422,Small,Tier 1,Grocery Store,28
12.15,Regular,0.13283066,Fruits and Vegetables,190.6872,Small,Tier 2,Supermarket Type1,6
13.85,Non-Edible,0.031338558,Others,41.048,Small,Tier 1,Supermarket Type1,16
13.8,Regular,0.056596985,Snack Foods,230.9984,Medium,Tier 3,Supermarket Type3,28
20.0,Regular,0.100262068,Baking Goods,169.6132,Small,Tier 3,Grocery Store,15
7.825,Low Fat,0.079952983,Meat,62.7826,Medium,Tier 3,Supermarket Type2,4
19.25,Non-Edible,0.107940533,Household,35.5558,High,Tier 3,Supermarket Type1,26
6.11,Regular,0.15209372100000002,Soft Drinks,43.0086,Medium,Tier 1,Supermarket Type1,14
16.35,Non-Edible,0.029445361,Household,257.6646,Small,Tier 1,Supermarket Type1,16
15.75,Low Fat,0.14048631,Hard Drinks,252.7382,High,Tier 3,Supermarket Type1,26
16.1,Regular,0.013529884,Fruits and Vegetables,106.2596,Medium,Tier 3,Supermarket Type3,28
17.7,Regular,0.041098734,Fruits and Vegetables,80.9276,Medium,Tier 3,Supermarket Type2,4
21.25,Non-Edible,0.114246019,Health and Hygiene,231.23,Small,Tier 2,Supermarket Type1,6
17.25,Regular,0.047266211,Snack Foods,97.0068,Small,Tier 1,Supermarket Type1,16
14.5,Regular,0.063993068,Breads,260.4594,Small,Tier 2,Supermarket Type1,11
8.02,Non-Edible,0.019901356,Household,157.7972,High,Tier 3,Supermarket Type1,26
12.35,Low Fat,0.026832182,Canned,57.3246,Small,Tier 2,Supermarket Type1,6
16.75,Non-Edible,0.032652796,Health and Hygiene,190.8162,Small,Tier 2,Supermarket Type1,11
5.11,Non-Edible,0.034874689,Household,161.721,Small,Tier 1,Supermarket Type1,16
15.1,Non-Edible,0.055793586,Household,139.7496,High,Tier 3,Supermarket Type1,26
15.75,Non-Edible,0.134418705,Household,99.67,Medium,Tier 3,Supermarket Type3,28
8.5,Low Fat,0.098083231,Canned,50.3324,Small,Tier 2,Supermarket Type1,11
10.0,Regular,0.063121982,Frozen Foods,231.7668,High,Tier 3,Supermarket Type1,26
16.6,Low Fat,0.122204371,Fruits and Vegetables,173.5738,Small,Tier 2,Supermarket Type1,9
14.6,Regular,0.043133816,Fruits and Vegetables,109.7254,Medium,Tier 3,Supermarket Type2,4
19.1,Low Fat,0.075836522,Dairy,40.2138,Small,Tier 3,Grocery Store,15
14.8,Non-Edible,0.019476708,Health and Hygiene,193.0794,Small,Tier 2,Supermarket Type1,9
20.85,Low Fat,0.121227447,Snack Foods,197.5452,Small,Tier 2,Supermarket Type1,9
16.0,Regular,0.099188598,Frozen Foods,88.9856,High,Tier 3,Supermarket Type1,26
11.5,Low Fat,0.045900448,Snack Foods,118.9124,Medium,Tier 3,Supermarket Type3,28
12.3,Low Fat,0.111500259,Baking Goods,37.2874,High,Tier 3,Supermarket Type1,26
15.7,Regular,0.11521312,Canned,112.0202,Small,Tier 2,Supermarket Type1,6
7.81,Regular,0.055226755,Canned,123.1046,Small,Tier 1,Supermarket Type1,16
8.38,Regular,0.046960237,Baking Goods,111.857,Medium,Tier 1,Supermarket Type1,14
14.0,Non-Edible,0.028980533,Health and Hygiene,129.531,Medium,Tier 3,Supermarket Type2,4
15.5,Regular,0.086184647,Frozen Foods,50.9692,Medium,Tier 3,Supermarket Type2,4
8.395,Low Fat,0.072383777,Hard Drinks,251.504,Small,Tier 2,Supermarket Type1,6
7.85,Low Fat,0.162980276,Hard Drinks,145.2444,Small,Tier 1,Supermarket Type1,16
13.15,Low Fat,0.020715913,Breads,83.5566,Small,Tier 1,Supermarket Type1,16
10.1,Regular,0.053887301,Fruits and Vegetables,225.6088,Small,Tier 2,Supermarket Type1,6
15.7,Non-Edible,0.160663021,Household,59.4562,Small,Tier 1,Supermarket Type1,16
11.8,Regular,0.014115626,Frozen Foods,178.5344,Small,Tier 2,Supermarket Type1,11
14.65,Regular,0.099113429,Snack Foods,52.8666,Small,Tier 2,Supermarket Type1,9
18.0,Low Fat,0.039231652,Snack Foods,145.1418,Small,Tier 2,Supermarket Type1,6
20.25,Regular,0.022936488,Baking Goods,240.8538,Small,Tier 2,Supermarket Type1,9
10.3,Regular,0.058918844,Fruits and Vegetables,189.053,Small,Tier 2,Supermarket Type1,11
