Ma,Ten Tinh
1,Ha Noi
2,TP. Ho Chi Minh
3,Hai Phong
4,Da Nang
5,Ha Giang
6,Cao Bang
7,Lai Chau
8,Lao Cai
9,Tuyen Quang
10,Lang Son
11,Bac Kan
12,Thai Nguyen
13,Yen Bai
14,Son La
15,Phu Tho
16,Vinh Phuc
17,Quang Ninh
18,Bac Giang
19,Bac Ninh
21,Hai Duong
22,Hung Yen
23,Hoa Binh
24,Ha Nam
25,Nam Dinh
26,Thai Binh
27,Ninh Binh
28,Thanh Hoa
29,Nghe An
30,Ha Tinh
31,Quang Binh
32,Quang Tri
33,Thua Thien - Hue
34,Quang Nam
35,Quang Ngai
36,Kon Tom
37,Binh Dinh
38,Gia Lai
39,Phu Yen
40,Dak Lak
41,Khanh Hoa
42,Lam Dong
43,Binh Phuoc
44,Binh Duong
45,Ninh Thuan
46,Tay Ninh
47,Binh Thuan
48,Dong Nai
49,Long An
50,Dong Thap
51,An Giang
52,Ba Ria - Vung Tau
53,Tien Giang
54,Kien Giang
55,Can Tho
56,Ben Tre
57,Vinh Long
58,Tra Vinh
59,Soc Trang
60,Bac Lieu
61,Ca Mau
62,Dien Bien
63,Dak Nong
64,Hau Giang
