sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,ma_ngoai_ngu
1017985,9.0,,,8.25,8.5,3.0,,,,
1017986,,8.5,,,,,,,,
1017988,8.2,7.0,8.6,5.75,4.25,,,,,N1
1017989,2.2,4.75,,,,,5.75,4.25,0.0,
1017990,,7.25,,,,,,,,
1017991,3.0,6.5,,,,,7.5,9.0,9.75,
1017992,7.4,,,6.25,3.75,4.75,,,,
1017993,,6.5,,,,,5.75,6.5,6.75,
1017994,,,9.0,,,,,,,N1
1017995,3.4,7.75,,,,,4.75,4.5,7.25,
1017996,6.8,8.0,5.0,,,,,,,N1
1017997,3.4,7.75,,,,,8.75,9.5,9.0,
1017998,,6.0,,,,,7.0,7.5,,
1017999,8.0,8.75,7.8,,,,,,,N1
1018000,7.8,7.5,3.4,,,,7.0,,,N1
1018002,7.8,7.0,4.6,3.5,4.75,5.0,,,,N1
1018003,7.6,7.25,,,,,10.0,9.5,,
1018005,8.0,,8.6,,7.0,,,,,N1
1018006,8.2,,,,7.5,7.5,,,,
1018008,6.4,9.0,5.6,,,,,,,N1
1018009,4.2,8.75,,,,,5.75,8.25,7.5,
1018010,,8.5,6.8,,,,8.25,9.5,9.0,N1
1018011,6.2,9.0,4.8,,,,,,,N1
1018012,,6.0,,,,,3.5,6.5,,
1018014,8.0,8.25,5.8,8.5,,,,,,N1
1018015,8.4,9.0,5.6,,,,,,,N1
1018016,8.4,9.5,7.0,,,,,,,N1
1018017,7.8,7.0,5.8,7.75,3.75,3.0,,,,N1
1018018,8.0,9.0,7.6,,,,5.75,,,N1
1018019,7.0,8.0,5.2,,,,,,,N1
1018020,8.4,,9.2,,9.0,,,,,N1
1018021,8.0,,,5.75,8.25,9.0,,,,
1018022,,5.0,,,,,5.75,8.0,8.5,
1018023,6.6,,,,6.0,6.5,,,,
1018026,8.4,8.5,8.6,,,,7.0,8.0,9.0,N1
1018027,7.0,8.25,7.2,,,,,,,N1
1018028,8.2,2.25,,8.75,9.25,2.5,,,,
1018029,,7.75,,,,,7.25,6.0,1.25,
1018030,6.8,7.75,6.8,,,,,,,N1
1018031,,5.25,,,,,6.5,5.75,6.75,
1018032,8.0,9.0,5.4,,,,,,,N1
1018033,,7.0,,,,,4.75,6.25,,
1018034,3.6,7.5,7.6,,,,7.5,4.75,8.75,N1
1018035,7.2,8.5,6.6,,,,,,,N1
